"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 26, 2022","16.96","17.16","17.20","16.93","3.53M","-2.02%"
"Jul 25, 2022","17.31","17.23","17.35","16.99","3.62M","0.46%"
"Jul 22, 2022","17.23","17.59","17.67","17.15","3.85M","-1.60%"
"Jul 21, 2022","17.51","17.65","17.66","17.29","5.32M","-2.72%"
"Jul 20, 2022","18.00","17.91","18.14","17.74","4.55M","0.50%"
"Jul 19, 2022","17.91","17.52","17.95","17.51","5.25M","4.13%"
"Jul 18, 2022","17.20","17.40","17.67","17.16","4.67M","0.76%"
"Jul 15, 2022","17.07","17.03","17.16","16.78","8.22M","1.49%"
"Jul 14, 2022","16.82","16.70","17.05","16.62","3.73M","-0.71%"
"Jul 13, 2022","16.94","16.67","16.98","16.49","5.92M","-0.82%"
"Jul 12, 2022","17.08","16.50","17.34","16.47","7.41M","3.89%"
"Jul 11, 2022","16.44","16.66","16.73","16.37","3.83M","-2.32%"
"Jul 08, 2022","16.83","16.83","17.02","16.65","3.23M","0.00%"
"Jul 07, 2022","16.83","16.78","16.96","16.66","3.57M","1.26%"
"Jul 06, 2022","16.62","16.78","16.93","16.43","6.72M","-1.48%"
"Jul 05, 2022","16.87","16.44","16.88","16.10","8.60M","0.24%"
"Jul 01, 2022","16.83","16.47","16.84","16.32","4.80M","2.00%"
"Jun 30, 2022","16.50","16.33","16.59","16.02","5.01M","-1.08%"
"Jun 29, 2022","16.68","16.85","16.86","16.45","5.31M","-1.48%"
"Jun 28, 2022","16.93","17.32","17.81","16.93","5.88M","-0.76%"
"Jun 27, 2022","17.06","17.49","17.49","17.01","4.02M","-2.07%"
"Jun 24, 2022","17.42","16.70","17.45","16.63","5.73M","4.56%"
"Jun 23, 2022","16.66","16.87","16.90","16.31","7.04M","-0.83%"
"Jun 22, 2022","16.80","16.58","16.97","16.49","5.09M","0.48%"
"Jun 21, 2022","16.72","16.94","17.02","16.57","6.90M","0.78%"
"Jun 17, 2022","16.59","16.15","16.72","15.89","6.34M","3.36%"
"Jun 16, 2022","16.05","16.56","16.61","15.94","7.69M","-5.87%"
"Jun 15, 2022","17.05","17.08","17.32","16.81","6.63M","1.55%"
"Jun 14, 2022","16.79","17.10","17.16","16.54","5.42M","-1.00%"
"Jun 13, 2022","16.96","17.69","17.69","16.86","8.76M","-6.86%"
"Jun 10, 2022","18.21","18.60","18.98","18.16","10.62M","-3.70%"
"Jun 09, 2022","18.91","19.43","19.50","18.89","5.84M","-3.42%"
"Jun 08, 2022","19.58","19.87","20.06","19.55","3.60M","-2.59%"
"Jun 07, 2022","20.10","19.64","20.13","19.55","3.05M","1.31%"
"Jun 06, 2022","19.84","19.90","20.01","19.60","3.71M","1.12%"
"Jun 03, 2022","19.62","19.81","19.84","19.37","3.84M","-2.68%"
"Jun 02, 2022","20.16","19.85","20.18","19.81","3.28M","1.56%"
"Jun 01, 2022","19.85","20.66","20.75","19.60","5.48M","-3.08%"
"May 31, 2022","20.48","20.28","20.73","20.09","5.94M","-0.58%"
"May 27, 2022","20.60","20.25","20.65","20.19","5.09M","2.74%"
"May 26, 2022","20.05","19.32","20.20","19.32","7.47M","5.14%"
"May 25, 2022","19.07","18.58","19.15","18.48","8.09M","2.25%"
"May 24, 2022","18.65","19.30","19.30","18.45","6.01M","-4.60%"
"May 23, 2022","19.55","19.47","19.65","19.14","3.84M","1.56%"
"May 20, 2022","19.25","19.78","19.90","18.83","6.11M","-1.38%"
"May 19, 2022","19.52","19.31","19.87","19.30","5.69M","0.05%"
"May 18, 2022","19.51","19.94","20.25","19.42","6.12M","-3.42%"
"May 17, 2022","20.20","19.70","20.22","19.60","6.07M","5.70%"
"May 16, 2022","19.11","19.10","19.46","19.05","4.61M","-0.16%"
"May 13, 2022","19.14","18.81","19.24","18.78","4.73M","3.91%"
"May 12, 2022","18.42","18.60","18.95","18.02","8.82M","-2.13%"
"May 11, 2022","18.82","19.26","19.82","18.77","8.56M","-2.39%"
"May 10, 2022","19.28","19.49","19.58","18.92","8.37M","0.89%"
"May 09, 2022","19.11","20.00","20.15","18.98","8.54M","-6.37%"
"May 06, 2022","20.41","20.76","20.86","20.15","8.40M","-2.67%"
"May 05, 2022","20.97","21.49","21.67","20.80","7.14M","-3.50%"
"May 04, 2022","21.73","21.36","21.79","20.99","7.11M","1.26%"
"May 03, 2022","21.46","21.39","21.66","21.09","5.77M","0.70%"
"May 02, 2022","21.31","21.42","21.55","20.78","6.41M","-0.70%"
"Apr 29, 2022","21.46","21.84","22.20","21.40","5.55M","-2.28%"
"Apr 28, 2022","21.96","21.83","22.02","21.31","6.44M","2.04%"
"Apr 27, 2022","21.52","21.32","21.70","21.03","7.34M","0.94%"
"Apr 26, 2022","21.32","22.06","22.08","21.26","6.59M","-4.18%"
"Apr 25, 2022","22.25","22.15","22.30","21.74","6.92M","-0.45%"
"Apr 22, 2022","22.35","22.81","23.03","22.30","7.28M","-1.97%"
"Apr 21, 2022","22.80","23.17","23.49","22.71","17.16M","2.80%"
"Apr 20, 2022","22.18","22.29","22.47","22.05","7.25M","0.32%"
"Apr 19, 2022","22.11","21.68","22.22","21.65","6.59M","2.79%"
"Apr 18, 2022","21.51","21.71","21.80","21.41","4.39M","-1.15%"
"Apr 14, 2022","21.76","21.78","22.19","21.69","7.43M","0.51%"
"Apr 13, 2022","21.65","21.05","21.67","21.04","10.59M","5.30%"
"Apr 12, 2022","20.56","20.59","20.80","20.35","5.77M","0.83%"
"Apr 11, 2022","20.39","20.00","20.75","20.00","4.95M","1.24%"
"Apr 08, 2022","20.14","20.45","20.50","20.11","3.28M","-1.61%"
"Apr 07, 2022","20.47","20.69","20.71","20.01","6.98M","-1.40%"
"Apr 06, 2022","20.76","20.99","21.00","20.32","7.99M","-3.35%"
"Apr 05, 2022","21.48","21.75","21.87","21.09","8.03M","-1.10%"
"Apr 04, 2022","21.72","21.65","21.83","21.33","3.59M","-0.05%"
"Apr 01, 2022","21.73","21.93","21.94","21.58","4.31M","-0.14%"
"Mar 31, 2022","21.76","21.78","21.98","21.64","4.12M","0.32%"
"Mar 30, 2022","21.69","21.57","21.83","21.47","3.68M","-0.28%"
"Mar 29, 2022","21.75","21.69","22.06","21.60","8.94M","3.47%"
"Mar 28, 2022","21.02","21.00","21.11","20.61","10.02M","0.86%"
"Mar 25, 2022","20.84","20.74","21.09","20.66","4.84M","0.72%"
"Mar 24, 2022","20.69","20.40","20.69","20.16","4.20M","2.12%"
"Mar 23, 2022","20.26","20.38","20.47","20.21","5.65M","-1.41%"
"Mar 22, 2022","20.55","20.29","20.71","20.24","8.79M","2.24%"
"Mar 21, 2022","20.10","20.36","20.39","19.94","7.38M","-2.47%"
"Mar 18, 2022","20.61","20.11","20.69","19.99","6.35M","1.48%"
"Mar 17, 2022","20.31","19.96","20.32","19.74","8.08M","-0.20%"
"Mar 16, 2022","20.35","19.73","20.39","19.70","12.82M","5.01%"
"Mar 15, 2022","19.38","18.97","19.50","18.93","10.60M","5.84%"
"Mar 14, 2022","18.31","18.40","18.82","18.02","16.94M","0.60%"
"Mar 11, 2022","18.20","18.85","18.99","18.17","19.51M","-1.78%"
"Mar 10, 2022","18.53","18.23","18.82","17.97","12.74M","-0.80%"
"Mar 09, 2022","18.68","18.67","19.02","18.48","17.48M","5.48%"
"Mar 08, 2022","17.71","17.25","18.45","16.91","21.68M","4.73%"
"Mar 07, 2022","16.91","18.85","18.95","16.88","28.98M","-11.14%"
"Mar 04, 2022","19.03","19.69","19.70","18.80","14.55M","-4.95%"
"Mar 03, 2022","20.02","20.95","21.00","19.89","17.91M","-3.42%"
"Mar 02, 2022","20.73","20.69","21.01","20.57","11.08M","1.67%"
"Mar 01, 2022","20.39","21.16","21.24","20.14","13.44M","-5.07%"
"Feb 28, 2022","21.48","21.40","21.72","21.05","14.13M","-2.19%"
"Feb 25, 2022","21.96","21.78","22.20","21.56","13.63M","2.33%"
"Feb 24, 2022","21.46","20.08","21.52","19.95","20.60M","0.28%"
"Feb 23, 2022","21.40","22.31","22.39","21.36","8.87M","-3.21%"
"Feb 22, 2022","22.11","22.22","22.61","21.92","7.75M","-1.99%"
"Feb 18, 2022","22.56","22.80","23.07","22.50","7.36M","-1.18%"
"Feb 17, 2022","22.83","23.20","23.25","22.65","7.52M","-2.56%"
"Feb 16, 2022","23.43","23.23","23.71","23.21","8.65M","0.04%"
"Feb 15, 2022","23.42","22.77","23.50","22.75","14.02M","5.73%"
"Feb 14, 2022","22.15","22.26","22.80","22.00","12.32M","-0.09%"
"Feb 11, 2022","22.17","23.10","23.39","21.93","24.52M","-3.98%"
"Feb 10, 2022","23.09","22.75","23.50","22.69","8.97M","-0.04%"
"Feb 09, 2022","23.10","22.70","23.33","22.69","15.76M","2.71%"
"Feb 08, 2022","22.49","21.80","22.50","21.74","11.96M","4.12%"
"Feb 07, 2022","21.60","21.34","21.85","21.32","12.10M","2.81%"
"Feb 04, 2022","21.01","20.99","21.10","20.66","5.70M","-0.47%"
"Feb 03, 2022","21.11","21.29","21.58","21.07","5.65M","-2.00%"
"Feb 02, 2022","21.54","21.69","21.76","21.20","5.69M","-0.51%"
"Feb 01, 2022","21.65","21.35","21.68","21.19","7.71M","2.03%"
"Jan 31, 2022","21.22","20.38","21.25","20.21","7.76M","3.92%"
"Jan 28, 2022","20.42","20.31","20.43","19.57","14.48M","0.20%"
"Jan 27, 2022","20.38","20.81","21.28","20.26","13.16M","-1.45%"
"Jan 26, 2022","20.68","21.13","21.37","20.47","10.94M","-0.67%"
"Jan 25, 2022","20.82","20.40","20.97","20.20","12.40M","0.39%"
"Jan 24, 2022","20.74","20.31","20.75","19.64","12.10M","-0.58%"
"Jan 21, 2022","20.86","21.33","21.39","20.78","20.63M","-2.43%"
"Jan 20, 2022","21.38","21.56","22.05","21.34","17.22M","-0.51%"
"Jan 19, 2022","21.49","21.99","21.99","21.48","12.16M","-1.56%"
"Jan 18, 2022","21.83","22.02","22.28","21.73","7.13M","-1.84%"
"Jan 14, 2022","22.24","22.34","22.40","21.94","9.62M","-1.37%"
"Jan 13, 2022","22.55","22.25","22.94","22.14","14.35M","2.22%"
"Jan 12, 2022","22.06","22.34","22.41","21.97","7.85M","-0.90%"
"Jan 11, 2022","22.26","21.92","22.38","21.84","6.83M","1.60%"
"Jan 10, 2022","21.91","22.12","22.35","21.66","8.16M","-1.35%"
"Jan 07, 2022","22.21","21.73","22.39","21.73","6.53M","2.30%"
"Jan 06, 2022","21.71","21.80","22.09","21.45","4.80M","0.00%"
"Jan 05, 2022","21.71","22.10","22.31","21.67","13.61M","-1.72%"
"Jan 04, 2022","22.09","22.17","22.32","21.90","12.37M","1.47%"
"Jan 03, 2022","21.77","21.35","22.04","21.30","10.62M","3.22%"
"Dec 31, 2021","21.09","21.12","21.33","21.05","4.21M","-0.19%"
"Dec 30, 2021","21.13","21.02","21.43","21.02","5.09M","-0.05%"
"Dec 29, 2021","21.14","21.32","21.35","21.09","5.79M","-1.49%"
"Dec 28, 2021","21.46","21.25","21.60","21.10","6.17M","0.56%"
"Dec 27, 2021","21.34","21.00","21.42","20.92","10.84M","-0.19%"
"Dec 23, 2021","21.38","21.34","21.45","21.13","9.72M","0.90%"
"Dec 22, 2021","21.19","21.01","21.38","20.89","12.82M","0.71%"
"Dec 21, 2021","21.04","20.21","21.17","20.18","18.43M","5.25%"
"Dec 20, 2021","19.99","19.52","20.14","19.28","19.30M","-0.20%"
"Dec 17, 2021","20.03","19.77","20.36","19.57","13.99M","1.52%"
"Dec 16, 2021","19.73","20.40","20.53","19.68","11.50M","-2.33%"
"Dec 15, 2021","20.20","20.22","20.25","19.60","15.29M","0.05%"
"Dec 14, 2021","20.19","20.15","20.69","20.12","14.13M","-0.79%"
"Dec 13, 2021","20.35","20.83","20.86","20.22","15.85M","-3.65%"
"Dec 10, 2021","21.12","21.27","21.36","20.88","10.21M","-1.03%"
"Dec 09, 2021","21.34","21.35","21.51","21.21","10.47M","-1.20%"
"Dec 08, 2021","21.60","21.42","22.11","21.28","28.98M","1.89%"
"Dec 07, 2021","21.20","21.70","21.73","21.03","21.97M","0.05%"
"Dec 06, 2021","21.19","20.50","21.72","20.46","33.54M","5.32%"
"Dec 03, 2021","20.12","20.55","20.60","19.79","22.58M","-2.19%"
"Dec 02, 2021","20.57","19.77","20.61","19.52","16.24M","6.14%"
"Dec 01, 2021","19.38","20.69","20.85","19.36","24.84M","-4.48%"
"Nov 30, 2021","20.29","20.22","20.40","19.78","16.58M","-1.27%"
"Nov 29, 2021","20.55","21.01","21.04","20.36","12.24M","0.10%"
"Nov 26, 2021","20.53","20.80","20.80","19.90","20.92M","-7.19%"
"Nov 24, 2021","22.12","21.92","22.20","21.77","4.74M","0.09%"
"Nov 23, 2021","22.10","22.36","22.49","21.99","5.51M","-0.45%"
"Nov 22, 2021","22.20","22.27","22.40","21.98","9.40M","0.54%"
"Nov 19, 2021","22.08","22.25","22.25","21.79","12.27M","-1.74%"
"Nov 18, 2021","22.47","22.91","22.91","22.26","6.33M","-1.62%"
"Nov 17, 2021","22.84","22.92","23.05","22.62","5.05M","-0.65%"
"Nov 16, 2021","22.99","23.44","23.45","22.89","8.46M","-2.42%"
"Nov 15, 2021","23.56","23.61","23.72","23.45","4.94M","0.64%"
"Nov 12, 2021","23.41","23.90","23.93","23.23","6.57M","-1.93%"
"Nov 11, 2021","23.87","24.04","24.21","23.86","4.54M","-0.71%"
"Nov 10, 2021","24.04","24.34","24.55","23.97","6.53M","-2.55%"
"Nov 09, 2021","24.67","24.70","24.73","24.26","9.70M","-0.48%"
"Nov 08, 2021","24.79","24.97","25.06","24.70","24.48M","0.65%"
"Nov 05, 2021","24.63","24.33","24.64","24.15","19.77M","6.39%"
"Nov 04, 2021","23.15","23.37","23.42","23.04","5.97M","-0.60%"
"Nov 03, 2021","23.29","22.71","23.30","22.59","7.60M","2.46%"
"Nov 02, 2021","22.73","22.87","22.88","22.61","3.96M","-0.53%"
"Nov 01, 2021","22.85","22.25","22.87","22.16","5.60M","2.84%"
"Oct 29, 2021","22.22","22.34","22.44","22.09","3.66M","-0.63%"
"Oct 28, 2021","22.36","22.30","22.41","22.15","4.54M","0.77%"
"Oct 27, 2021","22.19","22.66","22.66","22.17","4.75M","-1.73%"
"Oct 26, 2021","22.58","22.78","22.86","22.46","4.96M","0.00%"
"Oct 25, 2021","22.58","22.61","22.69","22.41","4.56M","-0.09%"
"Oct 22, 2021","22.60","22.84","22.87","22.51","4.37M","-1.40%"
"Oct 21, 2021","22.92","22.91","23.10","22.81","3.97M","-0.09%"
"Oct 20, 2021","22.94","23.09","23.21","22.77","9.06M","-0.65%"
"Oct 19, 2021","23.09","23.32","23.35","23.05","4.95M","-1.07%"
"Oct 18, 2021","23.34","23.46","23.59","23.31","4.31M","-1.02%"
"Oct 15, 2021","23.58","23.97","24.06","23.58","5.01M","0.00%"
"Oct 14, 2021","23.58","23.66","23.71","23.51","4.43M","0.73%"
"Oct 13, 2021","23.41","23.92","23.92","23.29","7.57M","-2.46%"
"Oct 12, 2021","24.00","23.79","24.06","23.71","4.21M","0.84%"
"Oct 11, 2021","23.80","23.85","24.24","23.74","7.53M","-0.75%"
"Oct 08, 2021","23.98","24.07","24.17","23.81","4.97M","-0.08%"
"Oct 07, 2021","24.00","24.44","24.44","23.94","5.37M","-0.91%"
"Oct 06, 2021","24.22","24.02","24.25","23.72","8.90M","-1.42%"
"Oct 05, 2021","24.57","24.80","24.98","24.46","10.30M","-0.69%"
"Oct 04, 2021","24.74","25.00","25.19","24.60","10.85M","-0.60%"
"Oct 01, 2021","24.89","24.19","24.97","24.16","15.92M","5.33%"
"Sep 30, 2021","23.63","23.95","23.95","23.55","7.42M","-1.71%"
"Sep 29, 2021","24.04","24.35","24.38","23.92","3.22M","-0.50%"
"Sep 28, 2021","24.16","24.35","24.64","24.09","7.02M","-1.27%"
"Sep 27, 2021","24.47","24.53","24.98","24.47","8.11M","0.74%"
